feature,baseline,DDPM-S-unet1d_mean,DDPM-S-unet1d_std,DDPM-L-unet1d_mean,DDPM-L-unet1d_std,VP-unet1d_mean,VP-unet1d_std,VE-unet1d_mean,VE-unet1d_std,EDM-noEMA-unet1d_mean,EDM-noEMA-unet1d_std,VP-conv1d_mean,VP-conv1d_std,EDM-XL-unet1d_mean,EDM-XL-unet1d_std
$m_{bb}$,1.6629027168064527e-05,2.508177275899777e-05,0.0,1.2268163139633957e-05,0.0,4.9416103063452876e-05,0.0,0.00012301578725568756,0.0,5.600499906399438e-05,0.0,2.906975102532392e-05,0.0,2.08886613483089e-05,0.0
missing energy,1.7071736260930474e-05,2.203212653232595e-05,0.0,1.9314865866185465e-05,0.0,5.781193931773156e-05,0.0,0.00016655662570082155,0.0,6.150989799854511e-05,0.0,5.29053782346261e-05,0.0,2.1512645478150056e-05,0.0
lepton $\eta$,3.348459898382618e-05,2.2410424394358598e-05,0.0,3.2372288479104565e-05,0.0,0.00013434512766914383,0.0,0.0001886465909548043,0.0,7.576618082066608e-05,0.0,3.9623631522884554e-05,0.0,3.958363719605394e-05,0.0
lepton $p_\mathrm{T}$,1.4729644395672677e-05,2.7396079799835214e-05,0.0,2.765606273886656e-05,0.0,0.00015806880652707964,0.0,0.00022746614484492678,0.0,6.558858279293501e-05,0.0,3.5913100384282985e-05,0.0,2.2345538673027706e-05,0.0
jet4 $\eta$,3.595397206343566e-05,2.8203190433150295e-05,0.0,3.3577135410593634e-05,0.0,0.00015919999675585798,0.0,0.00021982737102804156,0.0,9.754556968168624e-05,0.0,5.653012295277253e-05,0.0,4.9874009198558463e-05,0.0
$m_{jj}$,9.711608712504016e-06,2.4577819469696485e-05,0.0,5.331252020994579e-05,0.0,0.00017743233439207663,0.0,0.0002654069247841804,0.0,0.0001231304677128968,0.0,3.901545980524028e-05,0.0,2.393763507065727e-05,0.0
jet4 $p_\mathrm{T}$,1.6058248206756778e-05,3.822595978134729e-05,0.0,5.65143099773452e-05,0.0,0.00025609155608835664,0.0,0.00040438432907568953,0.0,0.00012022889447140114,0.0,3.436879840755916e-05,0.0,3.249878604015072e-05,0.0
jet2 $p_\mathrm{T}$,2.2379547593894183e-05,5.010500049189008e-05,0.0,3.993611584611918e-05,0.0,0.0002638307318656156,0.0,0.0004351677980214049,0.0,0.0001969005240548838,0.0,4.308877111301022e-05,0.0,4.726930546242236e-05,0.0
$m_{j\ell\nu}$,1.2165936097789278e-05,8.493001184126304e-05,0.0,5.1716251913112506e-05,0.0,0.0003056856276197989,0.0,0.0004979223273710525,0.0,0.0002694478256542819,0.0,4.533466603447716e-05,0.0,4.44426714502944e-05,0.0
jet1 $p_\mathrm{T}$,1.5583686240141643e-05,7.729931837572266e-05,0.0,4.604681629001786e-05,0.0,0.0002930370153974468,0.0,0.0005378563606474569,0.0,0.0002774671031610752,0.0,4.437194480080953e-05,0.0,5.621286924477155e-05,0.0
jet3 $\eta$,2.9079834615419908e-05,0.00010902382032258035,0.0,4.469322640543549e-05,0.0,0.0003492282914668895,0.0,0.0005939243363893205,0.0,0.0002982728590152566,0.0,4.372738132444734e-05,0.0,7.326121298344585e-05,0.0
$m_{\ell\nu}$,2.5421865550595677e-05,9.36646925629784e-05,0.0,4.870675163333164e-05,0.0,0.00035110663903051254,0.0,0.0006995423435355639,0.0,0.0003301451492972436,0.0,6.96194093692658e-05,0.0,7.265725464597699e-05,0.0
jet3 $p_\mathrm{T}$,1.7265764203241214e-05,0.00010958206136242954,0.0,5.70849895588369e-05,0.0,0.0004361918842157172,0.0,0.0007339214762695777,0.0,0.0003478355173331305,0.0,7.083985246654835e-05,0.0,6.983289272329532e-05,0.0
$m_{jjj}$,1.1693085487480518e-05,0.0001033573170581491,0.0,6.0662365788308276e-05,0.0,0.0004724873308860719,0.0,0.0010722553346154528,0.0,0.00041204084194820166,0.0,7.099703961213357e-05,0.0,7.342225957423985e-05,0.0
jet2 $\eta$,3.4813913831638e-05,0.00012727074343597152,0.0,8.306340968918302e-05,0.0,0.0006509226681594607,0.0,0.001085264645530855,0.0,0.0006936002819027239,0.0,8.161077160228636e-05,0.0,0.000125603854419191,0.0
jet1 $\eta$,2.9949145793502133e-05,0.00016396015601219502,0.0,8.422872578817021e-05,0.0,0.0006749832266375608,0.0,0.0017236921774505273,0.0,0.0009278751363663772,0.0,0.00012966698937235947,0.0,0.00013151682528886097,0.0
$m_{Wbb}$,1.994722060140337e-05,0.00019994748091236566,0.0,0.00013636916024290744,0.0,0.0007278332906812197,0.0,0.001800553653933986,0.0,0.0010330321227222197,0.0,0.0001355449629262001,0.0,0.00015389474390129081,0.0
$m_{WWbb}$,2.507466525992277e-05,0.00029415465063505487,0.0,0.00019793517261283727,0.0,0.0007590612683887969,0.0,0.00199405535696948,0.0,0.0015210119627117986,0.0,0.0001947282659585937,0.0,0.0001800911447831242,0.0
