feature,baseline,DDPM-S-unet1d_mean,DDPM-S-unet1d_std,DDPM-L-unet1d_mean,DDPM-L-unet1d_std,VP-unet1d_mean,VP-unet1d_std,VE-unet1d_mean,VE-unet1d_std,EDM-noEMA-unet1d_mean,EDM-noEMA-unet1d_std,VP-conv1d_mean,VP-conv1d_std,EDM-XL-unet1d_mean,EDM-XL-unet1d_std
$m_{bb}$,4.2088231481228045e-06,6.272335760406454e-06,0.0,2.7506290177569786e-06,0.0,1.1129073448396185e-05,0.0,3.488125766681032e-05,0.0,1.3890171423449635e-05,0.0,6.225039188941968e-06,0.0,5.2195380536478265e-06,0.0
missing energy,4.376946429641747e-06,5.568002487073803e-06,0.0,5.205729870431802e-06,0.0,1.4265728218285962e-05,0.0,4.1066133613008444e-05,0.0,1.4367324994821929e-05,0.0,8.994029843913908e-06,0.0,5.431954533761075e-06,0.0
lepton $\eta$,8.360770453656773e-06,5.615714123393458e-06,0.0,6.451295973805855e-06,0.0,3.492005308232728e-05,0.0,4.5777361514657097e-05,0.0,1.9310153766808107e-05,0.0,1.3240113699114728e-05,0.0,9.976372785110427e-06,0.0
lepton $p_\mathrm{T}$,3.861630751788876e-06,6.945442640842348e-06,0.0,7.349246672364844e-06,0.0,4.240996377987844e-05,0.0,4.4669776910587e-05,0.0,1.6194530085936667e-05,0.0,6.7412612640166e-06,0.0,5.822512158927441e-06,0.0
$m_{jj}$,2.3664392496067533e-06,5.689114165351651e-06,0.0,8.01142185974889e-06,0.0,4.234989108273818e-05,0.0,5.592816088817637e-05,0.0,1.9660730842028936e-05,0.0,9.068528455642874e-06,0.0,5.3444164348151414e-06,0.0
jet4 $\eta$,9.005134722427581e-06,7.387308410674456e-06,0.0,1.330615218487644e-05,0.0,4.6678025281066854e-05,0.0,6.118329725260476e-05,0.0,3.162876352283383e-05,0.0,8.676252424969227e-06,0.0,1.2514704702910057e-05,0.0
jet4 $p_\mathrm{T}$,3.4183630746587344e-06,9.477963950304402e-06,0.0,1.401824639921951e-05,0.0,6.622392158667441e-05,0.0,9.40902224770164e-05,0.0,3.0552159964267325e-05,0.0,1.4253477431554998e-05,0.0,7.916263292651557e-06,0.0
$m_{j\ell\nu}$,3.2474245278159347e-06,1.213726127599042e-05,0.0,9.665486873289563e-06,0.0,7.201744913692009e-05,0.0,0.00010293107186406694,0.0,4.276647969138949e-05,0.0,1.007960954436535e-05,0.0,9.89412126930814e-06,0.0
jet2 $p_\mathrm{T}$,5.21053193374299e-06,2.3504715347266225e-05,0.0,9.561549720536146e-06,0.0,7.153051782753325e-05,0.0,0.00011699583140384952,0.0,4.3151771699865855e-05,0.0,9.133530017819785e-06,0.0,1.2406759048643963e-05,0.0
jet1 $p_\mathrm{T}$,4.0462675199351635e-06,2.0343173845767017e-05,0.0,1.263263030535627e-05,0.0,7.322585785080776e-05,0.0,0.00012505041848536575,0.0,5.696676688902109e-05,0.0,1.0160384615043953e-05,0.0,1.381951492131588e-05,0.0
$m_{\ell\nu}$,6.1173717667404825e-06,2.8321780495251646e-05,0.0,1.0846075781834632e-05,0.0,8.409076094476297e-05,0.0,0.00014295808018911972,0.0,5.962917570621927e-05,0.0,1.0602120377618224e-05,0.0,1.6809189784753127e-05,0.0
jet3 $\eta$,7.298467657889305e-06,2.9682893493476544e-05,0.0,1.1953688821666415e-05,0.0,0.00010868312342108417,0.0,0.00016683248736651255,0.0,6.453683075438538e-05,0.0,1.7552509593036887e-05,0.0,1.8527811042889977e-05,0.0
jet3 $p_\mathrm{T}$,3.722025593042297e-06,3.3952529415591955e-05,0.0,1.3194607555643147e-05,0.0,0.00011877624498143145,0.0,0.0001632461989642985,0.0,7.387937202126349e-05,0.0,1.778580813789645e-05,0.0,1.543137464915144e-05,0.0
$m_{jjj}$,2.9654017832373016e-06,4.42328514399438e-05,0.0,1.451815901696376e-05,0.0,0.00013665507605546324,0.0,0.00024501967554685686,0.0,6.954128568444025e-05,0.0,1.8129498200034302e-05,0.0,1.758918290944026e-05,0.0
$m_{Wbb}$,5.131132376989205e-06,6.601418271463671e-05,0.0,1.8141111325359482e-05,0.0,0.00015394277414909014,0.0,0.0002542010917460643,0.0,0.00011718581521321926,0.0,1.6031252058913627e-05,0.0,2.7469313055473736e-05,0.0
jet2 $\eta$,8.785439639878162e-06,6.782899053627476e-05,0.0,2.0412425308060506e-05,0.0,0.00018627746586038496,0.0,0.0003930283701480752,0.0,0.00011730937743287982,0.0,2.6452084509787003e-05,0.0,3.202046833988118e-05,0.0
jet1 $\eta$,7.463379960095852e-06,7.602027753682384e-05,0.0,3.365890500699292e-05,0.0,0.00018378036220120808,0.0,0.0004009619944552065,0.0,0.0001618522525275278,0.0,3.071966308698603e-05,0.0,3.3081903421176515e-05,0.0
$m_{WWbb}$,6.149497701621476e-06,0.00010173276641920113,0.0,4.942172177382801e-05,0.0,0.00018838668339641,0.0,0.0004245430425027144,0.0,0.00022021368602958842,0.0,3.7496226218198086e-05,0.0,3.9719372400896e-05,0.0
