feature,baseline,DDPM-S-unet1d_mean,DDPM-S-unet1d_std,DDPM-L-unet1d_mean,DDPM-L-unet1d_std,VP-unet1d_mean,VP-unet1d_std,VE-unet1d_mean,VE-unet1d_std,EDM-noEMA-unet1d_mean,EDM-noEMA-unet1d_std,VP-conv1d_mean,VP-conv1d_std,EDM-XL-unet1d_mean,EDM-XL-unet1d_std
$m_{bb}$,9.500413042769704e-06,4.5364415259647884e-05,0.0,6.93821708678481e-06,0.0,3.1719230522380975e-05,0.0,9.588817539077795e-05,0.0,2.785281642993957e-05,0.0,1.762844522074531e-05,0.0,9.359865150932942e-06,0.0
missing energy,9.52542319621197e-06,3.741509668201433e-05,0.0,1.2486128637666036e-05,0.0,4.986690824946353e-05,0.0,9.695607218873391e-05,0.0,2.9268642819439475e-05,0.0,1.558926445731022e-05,0.0,1.1936706675813828e-05,0.0
lepton $\eta$,1.6727681171887238e-05,5.589656488483121e-05,0.0,2.0913732032361727e-05,0.0,9.117648919048915e-05,0.0,9.88467967183717e-05,0.0,3.835851784924e-05,0.0,1.583908781104008e-05,0.0,1.9898060603959414e-05,0.0
$m_{jj}$,4.062373842492382e-06,5.7731355527365394e-05,0.0,1.818242352756171e-05,0.0,0.0001150128663122282,0.0,0.00011241518778996491,0.0,3.211953568039725e-05,0.0,2.6469294691766127e-05,0.0,7.99864678967376e-06,0.0
lepton $p_\mathrm{T}$,8.628246132565458e-06,6.426887123759402e-05,0.0,2.6624593632291095e-05,0.0,0.00011270816514216914,0.0,0.00011700157861317037,0.0,4.3232410989178605e-05,0.0,1.2911944383179998e-05,0.0,1.3435346217564028e-05,0.0
jet4 $p_\mathrm{T}$,7.700657595774867e-06,7.041874265284329e-05,0.0,2.8108310275434197e-05,0.0,0.00012190806586194598,0.0,0.0001407367091769898,0.0,6.266208635799643e-05,0.0,1.6130054242512625e-05,0.0,1.430669431575541e-05,0.0
jet4 $\eta$,1.7998623199926064e-05,6.936294920177192e-05,0.0,1.991536194359099e-05,0.0,0.00014679009704066096,0.0,0.0002155124714752009,0.0,6.073625516287945e-05,0.0,1.876331622539235e-05,0.0,2.4996452162441996e-05,0.0
$m_{j\ell\nu}$,6.092126845467457e-06,8.609347049282844e-05,0.0,1.8864280122594494e-05,0.0,0.0001702337533508536,0.0,0.00023887569131831015,0.0,8.653179547171728e-05,0.0,2.8424360741018465e-05,0.0,1.540507261082762e-05,0.0
jet2 $p_\mathrm{T}$,1.23114372677414e-05,8.159146432914868e-05,0.0,2.4165378799017926e-05,0.0,0.0001652755246395062,0.0,0.0002578358333182247,0.0,9.509000807305931e-05,0.0,2.1267711097378235e-05,0.0,2.567381281508306e-05,0.0
$m_{\ell\nu}$,1.195211036623478e-05,8.267014782341077e-05,0.0,2.9542537647703352e-05,0.0,0.00018035704532616185,0.0,0.00028634808416954944,0.0,0.00012329820045243583,0.0,2.2205755194551257e-05,0.0,2.5370188453099584e-05,0.0
jet1 $p_\mathrm{T}$,9.094098979674725e-06,8.109833213905086e-05,0.0,2.622793076437169e-05,0.0,0.00018119290668186064,0.0,0.0003157793033825608,0.0,0.0001271350924990236,0.0,2.2795528588745773e-05,0.0,2.768377779035599e-05,0.0
jet3 $\eta$,1.4577788177741631e-05,7.997987089710994e-05,0.0,2.9780395190976375e-05,0.0,0.00021757291829351637,0.0,0.00033872642110312104,0.0,0.00013165385064026268,0.0,3.500220566535966e-05,0.0,3.6906684691989814e-05,0.0
$m_{jjj}$,4.8086200569798154e-06,8.453784779659412e-05,0.0,2.8816744094454438e-05,0.0,0.00022189747648837193,0.0,0.0003498970828319224,0.0,0.0001481282666963989,0.0,3.5518926351010576e-05,0.0,2.949624583709472e-05,0.0
jet3 $p_\mathrm{T}$,7.451900885882055e-06,8.732414173967815e-05,0.0,4.1054949277756076e-05,0.0,0.0002818121294659817,0.0,0.0005052222996879615,0.0,0.0001454823559848866,0.0,3.599825790330776e-05,0.0,3.374850300199604e-05,0.0
$m_{Wbb}$,9.085718055028318e-06,0.00011895838915363958,0.0,3.2443804737954145e-05,0.0,0.00031702604816029344,0.0,0.0005470804510176939,0.0,0.000249609922758538,0.0,3.1650182821137864e-05,0.0,5.415473563106875e-05,0.0
jet2 $\eta$,1.751487937452512e-05,0.0001500278025931498,0.0,4.433576634846975e-05,0.0,0.00034944412870934334,0.0,0.00080913659774292,0.0,0.00026170570959891136,0.0,5.279454695785969e-05,0.0,6.36072302174263e-05,0.0
jet1 $\eta$,1.494148487821071e-05,0.00016187489144764249,0.0,6.759443024206852e-05,0.0,0.00036931051275238545,0.0,0.0008315903606278581,0.0,0.00034922688506361046,0.0,5.7145689739162936e-05,0.0,6.601420697195289e-05,0.0
$m_{WWbb}$,1.1585595783298798e-05,0.0002465200737604703,0.0,9.887015362394497e-05,0.0,0.00042639227447220624,0.0,0.0008928813810465361,0.0,0.0004832942582488214,0.0,7.610669796655007e-05,0.0,7.515119207519261e-05,0.0
