feature,baseline,DDPM-S-unet1d_mean,DDPM-S-unet1d_std,DDPM-L-unet1d_mean,DDPM-L-unet1d_std,VP-unet1d_mean,VP-unet1d_std,VE-unet1d_mean,VE-unet1d_std,EDM-noEMA-unet1d_mean,EDM-noEMA-unet1d_std,VP-conv1d_mean,VP-conv1d_std,EDM-XL-unet1d_mean,EDM-XL-unet1d_std
jet4 $\eta$,0.0015983100400414267,0.0007330293136699288,0.0,0.0008265478033036894,0.0,0.0006474318556840468,0.0,0.0013286419326297592,0.0,0.0016638352802345816,0.0,0.0014403647949483773,0.0,0.0016871935363622598,0.0
missing energy,0.000742323046067718,0.000733599320495364,0.0,0.0009309467120712473,0.0,0.0012945649393085598,0.0,0.0026992538596576805,0.0,0.0006123392137322846,0.0,0.0003284194557590499,0.0,0.0008636309015102586,0.0
lepton $\eta$,0.001489139335893874,0.0008417473462633846,0.0,0.00046155220833352594,0.0,0.0020081274427386437,0.0,0.0038493128159698153,0.0,0.0022201939974816113,0.0,0.0007786159226203878,0.0,0.0017166867711192815,0.0
$m_{\ell\nu}$,0.0010180550348473018,0.0005139252694070411,0.0,0.0008558057243948023,0.0,0.003508915108144955,0.0,0.0033002268170551447,0.0,0.0024628746926644873,0.0,0.001862559283063497,0.0,0.0014049397143274629,0.0
$m_{jj}$,0.00018459493601732815,0.0018689710554405153,0.0,0.0010744963568019065,0.0,0.0026547785486273185,0.0,0.003214962737777186,0.0,0.0014632315090052307,0.0,0.0008052513754797156,0.0,0.000587782219218027,0.0
lepton $p_\mathrm{T}$,0.0005625025992948219,0.0017610460920060484,0.0,0.0007590504786191457,0.0,0.0029417665411148896,0.0,0.0039041698073545477,0.0,0.0018001047701203291,0.0,0.0010526600819636646,0.0,0.0009902578192164605,0.0
jet4 $p_\mathrm{T}$,0.0006603929738021469,0.0008492071403842065,0.0,0.0010312422402094542,0.0,0.0040862592349028126,0.0,0.004534494630863474,0.0,0.002781866098269239,0.0,0.0011839085844727445,0.0,0.0011917539804922096,0.0
jet3 $\eta$,0.0016051922306844018,0.0005036195755439383,0.0,0.001193098677639835,0.0,0.0032763490872042894,0.0,0.004547587852808834,0.0,0.0021286594205085383,0.0,0.002078323791020135,0.0,0.002162766269644644,0.0
$m_{bb}$,0.0005431314699207956,0.0010148517160993727,0.0,0.0021099932211664438,0.0,0.0034530425094448478,0.0,0.004898469973201537,0.0,0.003211033206489468,0.0,0.001520150150377915,0.0,0.0011498447082666139,0.0
jet3 $p_\mathrm{T}$,0.0005294086085693969,0.0012748766322156879,0.0,0.0015981724250002034,0.0,0.00462371777342702,0.0,0.005534269997747066,0.0,0.0023509392812386533,0.0,0.0021715578611121284,0.0,0.001199881896958343,0.0
jet1 $p_\mathrm{T}$,0.0007223891713364426,0.0023582702830804696,0.0,0.001117287169338223,0.0,0.004065427822738451,0.0,0.005767951055792333,0.0,0.00288086289019933,0.0,0.0013890652296337223,0.0,0.001397994023579959,0.0
$m_{j\ell\nu}$,0.0003969152582638094,0.0013076976211172189,0.0,0.0019424148326963187,0.0,0.004443776210441046,0.0,0.005898265612166396,0.0,0.002552195575543346,0.0,0.001220954657964004,0.0,0.0012021440365178506,0.0
jet2 $p_\mathrm{T}$,0.0006231646074571467,0.0018304656388471155,0.0,0.0022201896300097627,0.0,0.00477180360105718,0.0,0.0071115164148876355,0.0,0.0028678272209845487,0.0,0.0012633123200173873,0.0,0.0014864265394644279,0.0
jet1 $\eta$,0.001615672603811447,0.0020892152590225783,0.0,0.0014304319646828883,0.0,0.006623562346952283,0.0,0.007255581944331047,0.0,0.00319023050000748,0.0,0.0019443967196854106,0.0,0.002989528063040451,0.0
$m_{jjj}$,0.0005234578025962242,0.0024911256651824264,0.0,0.001409086702291212,0.0,0.006981740335881882,0.0,0.009002338127207701,0.0,0.0034729688662208497,0.0,0.0013928701256786273,0.0,0.0019055862657123123,0.0
jet2 $\eta$,0.0015762997043039454,0.0017391638207643137,0.0,0.00270050819703601,0.0,0.006874337935692771,0.0,0.008755583746799236,0.0,0.0038395568722472857,0.0,0.002451002437479534,0.0,0.0030530507938042444,0.0
$m_{Wbb}$,0.0007784154060711569,0.0016950597996431458,0.0,0.003364075588148744,0.0,0.006494205434434753,0.0,0.009957904713984417,0.0,0.004967211208471605,0.0,0.0015551049350085663,0.0,0.002686809953361427,0.0
$m_{WWbb}$,0.0012319546651108253,0.00401522121642423,0.0,0.00465369782289597,0.0,0.009221448105657353,0.0,0.010361288752127417,0.0,0.005586976175964995,0.0,0.0018868017935361435,0.0,0.003731079416503447,0.0
